num visits,num species,NLCD2011_FS_C11_375_PLAND,NLCD2011_FS_C12_375_PLAND,NLCD2011_FS_C21_375_PLAND,NLCD2011_FS_C22_375_PLAND,NLCD2011_FS_C23_375_PLAND,NLCD2011_FS_C24_375_PLAND,NLCD2011_FS_C31_375_PLAND,NLCD2011_FS_C41_375_PLAND,NLCD2011_FS_C42_375_PLAND,NLCD2011_FS_C43_375_PLAND,NLCD2011_FS_C52_375_PLAND,NLCD2011_FS_C71_375_PLAND,NLCD2011_FS_C81_375_PLAND,NLCD2011_FS_C82_375_PLAND,NLCD2011_FS_C90_375_PLAND,NLCD2011_FS_C95_375_PLAND,HOUSING_DENSITY,HOUSING_PERCENT_VACANT,ELEV_GT,DIST_FROM_FLOWING_FRESH,DIST_IN_FLOWING_FRESH,DIST_FROM_STANDING_FRESH,DIST_IN_STANDING_FRESH,DIST_FROM_WET_VEG_FRESH,DIST_IN_WET_VEG_FRESH,DIST_FROM_FLOWING_BRACKISH,DIST_IN_FLOWING_BRACKISH,DIST_FROM_STANDING_BRACKISH,DIST_IN_STANDING_BRACKISH,DIST_FROM_WET_VEG_BRACKISH,DIST_IN_WET_VEG_BRACKISH,LATITUDE,LONGITUDE,LOC_ID,IS_AVI_LOC
24.00000,271.00000,5.41135,0.00000,7.76692,2.65500,47.40553,8.76398,0.11945,58.08327,11.85186,1.45017,13.03165,1.15281,0.72310,69.73166,4.26175,1.70163,226.39161,0.09178,350.00000,1.00000,5.00000,2.00000,0.00000,2.00000,0.00000,2.00000,2.00000,8.00000,4.00000,8.00000,6.00000,42.00000,-75.00000,0.58932,0.00000
402.00000,412.00000,80.70113,0.00000,3.80804,31.06913,13.07067,7.18501,1.87669,85.04862,18.53700,7.55452,19.92954,1.41550,6.86045,17.25377,5.61555,0.11010,212.63901,0.02984,328.00000,1.00000,5.00000,8.00000,3.00000,4.00000,2.00000,2.00000,8.00000,3.00000,6.00000,4.00000,8.00000,42.00401,-75.00401,0.08450,1.00000
280.00000,394.00000,8.77849,0.00000,12.88487,37.39995,7.62226,4.92698,0.61350,92.70403,14.16897,3.78105,10.29176,1.94408,63.78022,58.34830,8.23370,1.29862,95.18257,0.07009,116.00000,2.00000,6.00000,3.00000,5.00000,8.00000,7.00000,5.00000,9.00000,4.00000,6.00000,2.00000,9.00000,42.00802,-75.00802,0.80347,1.00000
750.00000,87.00000,36.89591,0.00000,16.96403,49.87266,16.40503,9.15041,1.88656,24.43809,11.21322,14.34301,14.62480,1.73908,46.43040,53.94199,15.22686,1.76991,489.31824,0.08396,360.00000,3.00000,7.00000,0.00000,5.00000,1.00000,2.00000,8.00000,6.00000,3.00000,6.00000,6.00000,9.00000,42.01202,-75.01202,0.27214,1.00000
815.00000,66.00000,42.08619,0.00000,6.75648,21.27694,9.55569,14.81309,0.82844,90.22645,16.28690,16.00555,7.38646,0.14097,86.94214,45.67885,10.33298,0.85170,160.19872,0.09201,321.00000,3.00000,1.00000,9.00000,8.00000,2.00000,8.00000,1.00000,2.00000,3.00000,0.00000,7.00000,8.00000,42.01603,-75.01603,0.62262,1.00000
119.00000,270.00000,3.43142,0.00000,2.48547,17.33711,16.48648,13.08188,1.68490,67.47136,15.35952,5.93165,8.63888,0.46691,34.21484,40.26432,11.26912,1.27056,406.29867,0.07688,439.00000,1.00000,2.00000,9.00000,0.00000,0.00000,3.00000,9.00000,8.00000,1.00000,6.00000,9.00000,5.00000,42.02004,-75.02004,0.48478,0.00000
544.00000,492.00000,50.75804,0.00000,18.77288,7.82480,5.32237,15.36430,1.53067,54.32597,1.95546,15.85041,19.11392,0.31921,45.02978,36.27577,9.58487,0.37920,139.79663,0.04986,123.00000,2.00000,4.00000,0.00000,0.00000,1.00000,8.00000,0.00000,2.00000,4.00000,6.00000,9.00000,6.00000,42.02405,-75.02405,0.66741,0.00000
199.00000,306.00000,80.74480,0.00000,8.75394,7.84288,21.14545,1.10092,0.10468,57.74572,14.79215,16.57557,8.52937,0.87316,2.75076,5.78098,17.31247,1.37134,97.06348,0.03079,198.00000,0.00000,4.00000,9.00000,4.00000,9.00000,0.00000,0.00000,7.00000,1.00000,4.00000,0.00000,5.00000,42.02806,-75.02806,0.94140,1.00000
914.00000,135.00000,52.33047,0.00000,18.38889,27.89125,29.40467,10.39735,1.82245,74.12494,14.08064,11.71242,2.00962,1.92810,40.96826,23.90797,10.65055,0.39534,484.03003,0.06021,445.00000,2.00000,7.00000,9.00000,8.00000,5.00000,2.00000,0.00000,9.00000,1.00000,2.00000,7.00000,9.00000,42.03206,-75.03206,0.93417,0.00000
35.00000,328.00000,50.96265,0.00000,13.02633,24.50200,44.24604,4.00638,0.89183,66.90497,19.86643,1.70686,9.92103,1.77137,4.94100,23.90200,14.59000,0.63421,315.47084,0.00003,194.00000,3.00000,9.00000,8.00000,7.00000,9.00000,6.00000,1.00000,9.00000,6.00000,0.00000,2.00000,5.00000,42.03607,-75.03607,0.97095,1.00000
143.00000,449.00000,78.02924,0.00000,13.93758,48.83540,44.48999,11.74259,1.06568,32.64806,1.07525,12.10290,7.80137,1.14505,38.73661,78.60278,14.77565,1.19323,185.30734,0.01722,5.00000,1.00000,2.00000,4.00000,5.00000,5.00000,5.00000,6.00000,4.00000,7.00000,5.00000,8.00000,4.00000,42.04008,-75.04008,0.84995,1.00000
31.00000,101.00000,50.55058,0.00000,1.10914,8.30802,16.70629,18.99939,0.30277,40.56879,1.39550,0.20744,19.68548,0.84313,21.21291,13.91983,11.81984,0.80782,430.22777,0.02738,240.00000,4.00000,4.00000,2.00000,0.00000,6.00000,7.00000,3.00000,8.00000,1.00000,2.00000,4.00000,9.00000,42.04409,-75.04409,0.56086,0.00000
451.00000,27.00000,33.44132,0.00000,19.05271,38.74809,37.90747,7.99805,1.76343,61.49899,13.99754,1.07420,1.83682,0.01678,95.54037,31.78301,10.87511,0.77368,64.57497,0.04383,397.00000,2.00000,8.00000,0.00000,1.00000,0.00000,1.00000,9.00000,0.00000,6.00000,9.00000,7.00000,8.00000,42.04810,-75.04810,0.40182,0.00000
478.00000,15.00000,54.01802,0.00000,2.38735,49.87413,2.51709,1.31555,0.95201,72.44582,13.61091,13.54486,8.73199,1.37658,76.41060,67.10375,15.07980,1.77457,370.17959,0.09065,306.00000,3.00000,3.00000,8.00000,2.00000,5.00000,7.00000,3.00000,0.00000,3.00000,6.00000,8.00000,1.00000,42.05210,-75.05210,0.49798,0.00000
91.00000,45.00000,76.26827,0.00000,13.16874,49.12806,21.09846,6.72296,1.95562,32.65231,3.33088,11.25056,10.04391,1.24418,63.00643,52.77933,10.86475,0.45197,85.13936,0.07575,253.00000,0.00000,3.00000,3.00000,7.00000,3.00000,2.00000,0.00000,5.00000,4.00000,6.00000,4.00000,1.00000,42.05611,-75.05611,0.52410,0.00000
835.00000,20.00000,56.16084,0.00000,2.18709,25.61142,2.36025,10.17484,0.62364,43.63675,1.01007,15.12460,7.47552,1.52197,44.61686,53.09318,19.37138,1.22817,134.95074,0.06968,335.00000,3.00000,8.00000,1.00000,6.00000,6.00000,8.00000,3.00000,4.00000,8.00000,9.00000,8.00000,3.00000,42.06012,-75.06012,0.23243,0.00000
741.00000,408.00000,86.12066,0.00000,12.45048,13.21548,36.09674,17.41114,1.48602,83.13541,0.77529,2.51328,5.71534,0.24618,69.47681,23.23778,1.02314,1.55805,249.00230,0.01511,105.00000,4.00000,6.00000,9.00000,4.00000,7.00000,2.00000,5.00000,1.00000,1.00000,8.00000,6.00000,7.00000,42.06413,-75.06413,0.84110,1.00000
62.00000,319.00000,91.65791,0.00000,18.15015,5.03136,37.77577,8.45183,0.81464,4.24583,1.19211,8.81372,6.60881,1.98650,18.61616,77.47359,3.46639,1.65216,393.52200,0.02389,17.00000,0.00000,2.00000,3.00000,2.00000,3.00000,0.00000,0.00000,2.00000,0.00000,4.00000,9.00000,7.00000,42.06814,-75.06814,0.39527,1.00000
795.00000,155.00000,48.17210,0.00000,2.68354,0.22156,27.66817,8.91748,1.04876,63.70090,11.47623,0.43337,16.37206,1.51655,44.60101,52.91569,15.89292,0.28433,194.20365,0.03057,280.00000,3.00000,1.00000,8.00000,1.00000,9.00000,4.00000,6.00000,8.00000,7.00000,3.00000,9.00000,6.00000,42.07214,-75.07214,0.81489,1.00000
464.00000,152.00000,75.79364,0.00000,6.03313,45.85969,21.53199,7.54906,1.32536,75.61320,10.38128,7.59609,15.83661,1.07604,43.05066,65.23864,6.20856,0.98829,475.71331,0.01692,409.00000,0.00000,6.00000,9.00000,2.00000,4.00000,9.00000,9.00000,9.00000,5.00000,0.00000,2.00000,6.00000,42.07615,-75.07615,0.00128,0.00000
862.00000,430.00000,27.28165,0.00000,8.08512,13.72579,17.08663,9.28170,0.41884,76.84837,11.88493,17.00416,17.89681,1.52940,10.30683,73.13233,16.81152,0.09084,182.91423,0.09458,274.00000,1.00000,1.00000,9.00000,8.00000,2.00000,9.00000,8.00000,5.00000,7.00000,5.00000,4.00000,8.00000,42.08016,-75.08016,0.91162,1.00000
734.00000,294.00000,59.87571,0.00000,12.89182,38.93646,26.40542,19.13818,0.00849,31.65146,15.33195,4.34429,12.75049,1.24582,6.51178,3.47396,0.44729,0.08459,334.21691,0.09536,192.00000,0.00000,4.00000,6.00000,9.00000,5.00000,3.00000,9.00000,9.00000,2.00000,5.00000,0.00000,0.00000,42.08417,-75.08417,0.59449,0.00000
379.00000,384.00000,67.87855,0.00000,16.60625,36.66432,39.94153,6.82631,1.08991,41.59900,18.47084,15.96880,13.22667,0.02676,20.74538,37.11788,5.22993,0.96968,369.57116,0.01848,237.00000,4.00000,5.00000,3.00000,0.00000,0.00000,0.00000,4.00000,5.00000,7.00000,1.00000,8.00000,4.00000,42.08818,-75.08818,0.79671,0.00000
198.00000,32.00000,63.56596,0.00000,14.82095,31.21174,23.25937,0.03651,0.21225,21.29636,1.65662,14.71030,4.06246,1.82488,19.15667,50.38168,17.01373,0.35126,211.92777,0.05963,451.00000,2.00000,3.00000,1.00000,7.00000,6.00000,2.00000,9.00000,9.00000,9.00000,6.00000,0.00000,2.00000,42.09218,-75.09218,0.52625,0.00000
877.00000,430.00000,77.49840,0.00000,13.55781,34.70753,31.88221,10.82038,0.47651,98.77130,16.30049,15.70307,11.23830,0.92023,32.48347,33.51367,3.93557,0.88406,99.89585,0.03291,132.00000,0.00000,8.00000,8.00000,3.00000,5.00000,7.00000,8.00000,0.00000,4.00000,2.00000,2.00000,6.00000,42.09619,-75.09619,0.40861,0.00000
3.00000,475.00000,71.25558,0.00000,0.89873,5.64824,33.92319,15.13501,1.50886,29.46735,19.53853,7.15020,12.05514,0.71660,1.43284,4.22415,18.39101,1.78202,268.59486,0.08665,400.00000,1.00000,5.00000,2.00000,7.00000,0.00000,1.00000,9.00000,5.00000,9.00000,2.00000,7.00000,1.00000,42.10020,-75.10020,0.72149,1.00000
267.00000,484.00000,50.91917,0.00000,3.92213,31.34488,37.22913,11.43821,0.53816,96.30856,7.97723,15.17420,3.55874,0.82979,45.84832,66.76414,6.67550,0.29698,75.76192,0.00014,281.00000,2.00000,2.00000,6.00000,6.00000,3.00000,9.00000,7.00000,1.00000,8.00000,4.00000,5.00000,2.00000,42.10421,-75.10421,0.15420,1.00000
